term_id,term_str,n,num,pos_max,p_stem,tfidf_sum
430,aback,3,0,NN,aback,1.7797491834083385e-05
433,abandon,2,0,VB,abandon,1.879778997502594e-05
434,abandoned,26,0,VBN,abandon,2.786019398101474e-05
435,abandoning,2,0,VBG,abandon,1.884280815845039e-05
436,abandonment,2,0,NN,abandon,2.3911904630967644e-05
437,abase,1,0,NN,abas,1.2684738914136435e-05
438,abased,1,0,NN,abas,1.1849086635246452e-05
439,abash,1,0,VB,abash,2.797936570907902e-05
440,abashed,5,0,VBN,abash,3.201740672960864e-05
441,abasing,1,0,VBG,abas,2.0355910898048993e-05
442,abate,5,0,VB,abat,3.15937091018922e-05
443,abated,5,0,VBD,abat,2.6426557453034933e-05
444,abating,2,0,VBG,abat,1.5370603009736227e-05
449,abbreviate,1,0,VBP,abbrevi,1.0371165600467903e-05
451,abear,2,0,JJ,abear,2.3698173270492903e-05
452,abed,7,0,JJ,abe,4.246198391272228e-05
457,aberration,1,0,NN,aberr,1.1849086635246452e-05
458,abet,1,0,VB,abet,1.1849086635246452e-05
459,abetted,1,0,VBD,abet,1.0371165600467903e-05
460,abeyance,1,0,NN,abey,1.1849086635246452e-05
461,abhor,2,0,VB,abhor,2.0742331200935806e-05
462,abhorred,1,0,VBD,abhor,2.0355910898048993e-05
463,abhorrence,6,0,NN,abhorr,3.565565808721815e-05
464,abhorrent,2,0,NN,abhorr,2.3698173270492903e-05
465,abhorring,1,0,VBG,abhor,1.1849086635246452e-05
466,abide,8,0,VB,abid,2.7591154426417692e-05
467,abided,3,0,VBN,abid,2.2507088173025162e-05
468,abideth,1,0,VBZ,abideth,1.0371165600467903e-05
469,abiding,3,0,VBG,abid,2.416951816622552e-05
470,abilities,7,0,NN,abil,3.2261531560154564e-05
471,ability,10,0,NN,abil,1.8005787254405676e-05
472,abject,8,0,JJ,abject,2.3696847151022473e-05
473,abjectly,2,0,RB,abjectli,2.2072118058214742e-05
474,abjured,1,0,JJ,abjur,1.2752266189273116e-05
475,ablaze,3,0,NN,ablaz,2.5405808421852022e-05
476,able,158,0,JJ,abl,0.0
477,abler,1,0,NN,abler,1.0371165600467903e-05
478,ablest,1,0,JJS,ablest,1.0371165600467903e-05
479,ablitionist,1,0,NN,ablitionist,1.847187537312218e-05
480,ablutions,4,0,NNS,ablut,2.1355819874975966e-05
481,ably,1,0,RB,abli,1.2752266189273116e-05
482,abnegating,1,0,VBG,abneg,1.551194604840247e-05
484,aboard,44,0,IN,aboard,4.500353519097151e-05
485,abode,9,0,NN,abod,3.874057745258022e-05
486,abolished,4,0,JJ,abolish,4.4594499362170945e-05
487,abolishing,1,0,VBG,abolish,1.551194604840247e-05
488,abolition,1,0,NN,abolit,1.551194604840247e-05
490,abominable,4,0,JJ,abomin,3.0217909725114137e-05
491,abominate,1,0,VBP,abomin,1.1849086635246452e-05
492,aboove,1,0,NN,aboov,2.0355910898048993e-05
493,abound,3,0,NN,abound,2.228471341004816e-05
494,abounding,3,0,VBG,abound,2.5405808421852022e-05
497,abraded,1,0,RB,abrad,1.0371165600467903e-05
501,abrasion,1,0,NN,abras,1.2752266189273116e-05
502,abreast,21,0,IN,abreast,4.639598413515084e-05
503,abridge,1,0,VB,abridg,1.551194604840247e-05
504,abroad,103,0,RB,abroad,0.0
505,abrupt,12,0,JJ,abrupt,2.2236096470643887e-05
506,abruptly,13,0,RB,abruptli,3.9840225897175726e-05
507,abruptness,3,0,NN,abrupt,1.6495808338525853e-05
510,absconded,2,0,VBN,abscond,2.2027099874790287e-05
511,absence,30,0,NN,absenc,5.7314774196991794e-05
512,absences,1,0,NNS,absenc,1.2684738914136435e-05
513,absent,30,0,JJ,absent,0.0
514,absenting,1,0,VBG,absent,1.2684738914136435e-05
515,absently,2,0,RB,absent,2.715442126556809e-05
516,absentmindedness,1,0,NN,absentminded,2.797936570907902e-05
517,absolute,14,0,JJ,absolut,4.5690736281356676e-05
518,absolutely,31,0,RB,absolut,9.367766429242304e-05
519,absolve,1,0,VB,absolv,1.1849086635246452e-05
520,absolving,1,0,VBG,absolv,1.551194604840247e-05
521,absorb,2,0,VB,absorb,2.0742331200935806e-05
522,absorbed,25,0,VBN,absorb,2.812039189158889e-05
523,absorbedly,1,0,RB,absorbedli,1.2752266189273116e-05
524,absorbing,9,0,VBG,absorb,7.003429248822642e-05
525,absorption,2,0,NN,absorpt,3.102389209680494e-05
526,abstain,2,0,VB,abstain,2.710940308214364e-05
527,abstained,1,0,VBN,abstain,1.2684738914136435e-05
528,abstaining,3,0,VBG,abstain,3.825679856781935e-05
529,abstinence,2,0,NN,abstin,2.14699983555303e-05
530,abstracted,3,0,VBD,abstract,3.0483592484214576e-05
531,abstractedly,4,0,RB,abstractedli,3.571077519387452e-05
532,abstraction,10,0,NN,abstract,4.738817674972835e-05
